Index,Target,Type,Alcohol,Density,Nitrogen,pH,Sugar,A,B,C,D,Di,E,H,S,U,V
0,3,white_wine,7.50,1.02,7.51,3.19,10.85,25.10,1.98,10.20,39.60,49.10,1.37,2.36,2.34,6.35,0.29
1,4,white_wine,7.65,1.02,3.41,3.40,1.54,23.90,1.58,4.20,38.50,48.16,0.94,2.42,3.07,7.65,0.05
2,3,red_wine,8.10,1.02,0.25,3.76,2.11,21.70,7.92,0.30,22.00,34.93,1.26,4.84,4.38,4.40,0.22
3,4,white_wine,8.80,1.01,6.35,3.11,3.82,24.30,1.45,4.20,16.50,33.77,1.01,1.49,8.18,3.60,0.10
4,3,red_wine,7.80,1.02,5.34,3.51,3.25,27.30,5.15,4.50,31.90,40.26,1.57,4.15,4.53,6.45,0.14
5,4,white_wine,7.50,1.02,2.15,3.29,16.83,23.30,1.85,3.45,39.60,49.73,1.97,2.36,3.50,5.60,0.11
6,4,white_wine,9.15,1.01,1.86,3.44,1.44,24.10,1.06,4.80,30.80,47.22,1.23,1.43,2.04,3.70,0.04
7,5,white_wine,8.75,1.01,5.02,3.29,2.68,25.10,1.85,4.80,30.80,29.93,0.78,2.23,5.55,4.70,0.07
8,6,white_wine,7.50,1.02,3.66,3.14,13.61,24.70,1.45,4.05,48.40,59.77,1.41,2.98,2.77,7.45,0.15
9,5,white_wine,9.95,1.01,6.59,3.41,3.44,22.50,8.98,0.15,18.70,32.34,1.74,1.98,10.51,5.70,0.11
10,4,white_wine,7.55,1.02,6.47,3.06,10.09,23.50,2.11,4.50,47.30,57.11,1.10,3.78,3.50,8.65,0.15
11,4,white_wine,7.85,1.02,4.28,3.45,11.13,21.90,2.24,3.75,31.90,32.06,0.93,2.67,3.21,7.95,0.21
12,6,white_wine,8.30,1.01,5.14,3.44,2.30,23.70,2.11,4.35,15.40,25.28,1.56,2.17,6.13,4.50,0.04
13,4,white_wine,7.90,1.02,2.98,3.50,1.63,25.10,0.79,5.10,53.90,67.09,1.48,2.85,8.47,7.35,0.18
14,4,white_wine,7.85,1.02,5.97,3.32,10.28,26.10,1.85,4.80,68.20,78.33,1.76,2.11,4.53,9.75,0.26
15,4,white_wine,8.90,1.01,5.53,3.24,4.01,25.50,2.51,7.35,49.50,59.54,1.54,1.74,2.34,6.65,0.06
16,4,red_wine,9.05,1.02,3.46,3.39,2.49,29.90,4.75,6.90,9.90,20.27,1.28,5.08,6.86,1.75,0.35
17,3,red_wine,8.05,1.02,4.62,3.46,2.40,25.90,8.05,3.15,35.20,49.95,1.32,4.40,4.23,6.75,0.31
18,6,red_wine,9.80,1.02,5.13,3.43,5.34,32.70,7.13,10.05,5.50,11.72,2.35,4.77,6.86,0.65,0.39
19,4,white_wine,7.80,1.02,0.32,3.19,4.29,23.90,2.24,4.50,24.20,34.49,1.74,2.79,2.34,5.50,0.24
20,3,white_wine,8.70,1.01,1.88,3.72,1.25,21.10,1.45,4.05,56.10,66.48,1.24,1.92,2.48,4.85,0.16
21,4,white_wine,8.80,1.01,5.03,3.37,2.02,23.90,2.64,6.15,9.90,19.55,2.30,2.54,7.15,6.50,0.16
22,3,white_wine,8.55,1.01,5.16,3.38,2.02,24.90,2.90,4.80,24.20,38.72,1.12,1.30,6.42,6.10,0.05
